Date,Produit,Catégorie,Prix HT
2016-01-01,Produit E,Électronique,363.17
2016-01-01,Produit E,Alimentation,6.53
2016-01-01,Produit A,Vêtements,450.17
2016-01-01,Produit E,Électronique,411.66
2016-01-01,Produit C,Vêtements,291.42
2016-01-01,Produit D,Électronique,297.28
2016-01-02,Produit D,Vêtements,380.52
2016-01-02,Produit D,Maison,444.66
2016-01-02,Produit D,Beauté,109.03
2016-01-02,Produit C,Électronique,178.84
2016-01-02,Produit A,Alimentation,368.75
2016-01-03,Produit A,Vêtements,398.0
2016-01-03,Produit C,Vêtements,377.7
2016-01-03,Produit C,Alimentation,354.06
2016-01-03,Produit A,Beauté,436.84
2016-01-03,Produit E,Vêtements,60.08
2016-01-03,Produit B,Vêtements,410.72
2016-01-03,Produit D,Vêtements,314.83
2016-01-03,Produit B,Électronique,200.83
2016-01-03,Produit D,Vêtements,216.24
2016-01-03,Produit C,Beauté,27.77
2016-01-04,Produit E,Électronique,119.43
2016-01-04,Produit A,Alimentation,294.49
2016-01-04,Produit C,Maison,101.08
2016-01-05,Produit C,Électronique,136.47
2016-01-05,Produit C,Beauté,355.5
2016-01-05,Produit E,Alimentation,188.59
2016-01-05,Produit C,Beauté,284.26
2016-01-05,Produit D,Maison,327.08
2016-01-05,Produit A,Électronique,493.11
2016-01-05,Produit A,Vêtements,456.01
2016-01-05,Produit B,Beauté,110.1
2016-01-05,Produit C,Beauté,450.23
2016-01-05,Produit D,Électronique,361.01
2016-01-05,Produit A,Électronique,362.72
2016-01-06,Produit A,Électronique,124.14
2016-01-06,Produit C,Maison,399.71
2016-01-06,Produit D,Alimentation,335.59
2016-01-06,Produit C,Alimentation,342.02
2016-01-06,Produit B,Électronique,327.75
2016-01-07,Produit B,Maison,150.33
2016-01-07,Produit B,Vêtements,495.81
2016-01-07,Produit E,Beauté,8.47
2016-01-07,Produit E,Alimentation,93.66
2016-01-07,Produit C,Alimentation,446.75
2016-01-07,Produit D,Alimentation,318.18
2016-01-07,Produit E,Vêtements,345.42
2016-01-07,Produit E,Vêtements,453.93
2016-01-08,Produit B,Maison,183.84
2016-01-08,Produit D,Beauté,231.01
2016-01-08,Produit C,Maison,334.46
2016-01-08,Produit C,Beauté,145.18
2016-01-08,Produit E,Électronique,137.85
2016-01-08,Produit D,Maison,40.95
2016-01-09,Produit B,Vêtements,355.0
2016-01-09,Produit E,Vêtements,296.39
2016-01-09,Produit C,Maison,80.42
2016-01-09,Produit B,Beauté,108.99
2016-01-09,Produit C,Maison,188.79
2016-01-09,Produit B,Alimentation,363.2
2016-01-09,Produit E,Alimentation,124.16
2016-01-09,Produit E,Maison,186.81
2016-01-09,Produit E,Alimentation,278.27
2016-01-09,Produit C,Alimentation,127.01
2016-01-09,Produit E,Alimentation,34.45
2016-01-10,Produit E,Électronique,261.32
2016-01-10,Produit C,Beauté,258.91
2016-01-10,Produit B,Alimentation,185.81
2016-01-10,Produit C,Vêtements,104.9
2016-01-10,Produit D,Maison,36.42
2016-01-11,Produit B,Maison,481.66
2016-01-11,Produit B,Maison,346.79
2016-01-11,Produit A,Vêtements,150.97
2016-01-11,Produit B,Alimentation,220.07
2016-01-11,Produit A,Vêtements,106.68
2016-01-11,Produit C,Alimentation,400.61
2016-01-11,Produit D,Alimentation,118.77
2016-01-11,Produit C,Beauté,137.83
2016-01-11,Produit E,Maison,22.39
2016-01-12,Produit E,Alimentation,127.88
2016-01-12,Produit E,Maison,345.79
2016-01-12,Produit D,Vêtements,364.08
2016-01-12,Produit C,Beauté,20.01
2016-01-12,Produit E,Beauté,32.35
2016-01-12,Produit C,Maison,453.3
2016-01-12,Produit E,Vêtements,163.86
2016-01-12,Produit A,Vêtements,201.85
2016-01-12,Produit D,Beauté,409.33
2016-01-13,Produit E,Maison,263.38
2016-01-13,Produit E,Électronique,139.23
2016-01-13,Produit A,Électronique,319.42
2016-01-13,Produit A,Électronique,428.02
2016-01-13,Produit C,Maison,271.0
2016-01-14,Produit B,Vêtements,315.88
2016-01-14,Produit B,Beauté,353.13
2016-01-14,Produit E,Électronique,274.1
2016-01-15,Produit D,Maison,236.5
2016-01-15,Produit A,Électronique,284.21
2016-01-15,Produit E,Beauté,101.91
